Row,Column,Value
9682,Scott Sidney,1
9688,William Wolbert,1
9690,John Ford,1
9696,John Ford,1
9721,Chester M. Franklin,1
9721,Sidney Franklin,1
9766,Roy William Neill,1
9796,Cecil B. DeMille,1
9811,John Ford,1
9825,Joseph A. Golden,1
9858,Léonce Perret,1
9879,William Desmond Taylor,1
9915,Irvin Willat,1
9936,George B. Seitz,1
9950,Harley Knoles,1
9968,D.W. Griffith,1
9976,Jerome Storm,1
9987,William Desmond Taylor,1
10040,Marshall Neilan,1
10042,George Archainbaud,1
10049,Allan Dwan,1
10058,Robert Thornby,1
10060,Robert Z. Leonard,1
10061,George Foster Platt,1
10091,Raoul Walsh,1
10103,Albert Parker,1
10106,Henry Otto,1
10112,Irvin Willat,1
10119,John Ford,1
10134,Laurence Trimble,1
10137,Cecil B. DeMille,1
10162,Allan Dwan,1
10190,Robert Broadwell,1
10190,Robert F. Hill,1
10193,D.W. Griffith,1
10195,Irvin Willat,1
10209,Victor Schertzinger,1
10219,James Cruze,1
10227,Joseph De Grasse,1
10227,Sidney Franklin,1
10255,Joseph Henabery,1
10267,Sidney Franklin,1
10276,Wilfrid North,1
10313,Victor Schertzinger,1
10325,Charles Brabin,1
10352,Maurice Tourneur,1
10357,George B. Seitz,1
10386,Burton L. King,1
10418,Cecil B. DeMille,1
10446,Harry Grossman,1
10446,Burton L. King,1
10476,William S. Hart,1
10481,J. Stuart Blackton,1
10484,D.W. Griffith,1
10490,Hugh Ford,1
10495,J. Stuart Blackton,1
10499,Emile Chautard,1
10528,John Ince,1
10532,Gilbert P. Hamilton,1
10548,Emile Chautard,1
10566,Oscar Apfel,1
10587,Robert Thornby,1
10614,J.P. McGowan,1
10616,Albert Capellani,1
10628,John Ford,1
10629,John Ford,1
10635,James Cruze,1
10637,Walter Edwards,1
10640,John Ford,1
10651,Harry F. Millarde,1
10674,Gustav von Seyffertitz,1
10690,Louis F. Gottschalk,1
10690,Harold Bell Wright,1
10700,J. Gordon Edwards,1
10703,Henry King,1
10716,Frederick Sullivan,1
10733,William S. Hart,1
10733,Lambert Hillyer,1
10782,Frank Beal,1
10791,William Worthington,1
10795,Duke Worne,1
10806,D.W. Griffith,1
10822,Léonce Perret,1
10827,Bernard J. Durning,1
10849,David Kirkland,1
10871,Oliver L. Sellers,1
10879,Victor Fleming,1
10890,Tod Browning,1
10905,George Fitzmaurice,1
10907,James Young,1
10912,J. Gordon Edwards,1
10925,F. Richard Jones,1
10942,Charles Christie,1
10942,Scott Sidney,1
10943,Jacques Jaccard,1
10965,Charles Swickard,1
10984,Marcel De Sano,1
10987,Irvin Willat,1
11036,Lynn Reynolds,1
11050,Henry Otto,1
11069,Bertram Bracken,1
11070,William C. de Mille,1
11073,Charles Maigne,1
11076,Edmund Mortimer,1
11076,Maurice Tourneur,1
11078,William S. Hart,1
11078,Lambert Hillyer,1
11079,Paul Powell,1
11089,Sam Wood,1
11093,W.S. Van Dyke,1
11094,Charles Giblyn,1
11112,Charles Swickard,1
11114,Erich von Stroheim,1
11117,John McDermott,1
11117,Marshall Neilan,1
11118,Harry Beaumont,1
11128,Ray Grey,1
11128,F. Richard Jones,1
11128,Erle C. Kenton,1
11130,John S. Robertson,1
11133,J. Gordon Edwards,1
11147,Charles Christie,1
11147,Scott Sidney,1
11163,Sam Wood,1
11167,Richard Stanton,1
11172,King Vidor,1
11193,Alan Crosland,1
11196,Arthur Rosson,1
11205,Albert Capellani,1
11241,Jacques Jaccard,1
11257,Fred Niblo,1
11265,W.S. Van Dyke,1
11267,Lawrence C. Windom,1
11281,Henry King,1
11284,Scott R. Dunlap,1
11298,John Ford,1
11313,William Desmond Taylor,1
11317,Frank Borzage,1
11336,Harry A. Pollard,1
11344,King Vidor,1
11358,John Ford,1
11368,Louis J. Gasnier,1
11387,Clarence Brown,1
11387,Maurice Tourneur,1
11413,E.A. Martin,1
11414,David Kirkland,1
11433,Francis Ford,1
11474,Victor Fleming,1
11489,Edward Sloman,1
11495,Francis Ford,1
11513,David Hartford,1
11549,Harry F. Millarde,1
11565,Wallace Worsley,1
11575,B. Reeves Eason,1
11588,Paul Powell,1
11603,John Ford,1
11619,Lillian Gish,1
11619,D.W. Griffith,1
11623,Leon D'Usseau,1
11623,Robert Z. Leonard,1
11651,Lambert Hillyer,1
11652,Herbert Blaché,1
11652,Winchell Smith,1
11679,Fred Niblo,1
11691,Sam Wood,1
11692,Herbert Brenon,1
11694,Alfred E. Green,1
11695,Frank Lloyd,1
11717,Arthur J. Flaven,1
11717,Harry Revier,1
11738,Herbert Blaché,1
11738,Charles Bryant,1
11738,Robert Z. Leonard,1
11741,John Francis Dillon,1
11753,James Cruze,1
11756,Lambert Hillyer,1
11758,Lynn Reynolds,1
11771,Francis Ford,1
11771,Murdock MacQuarrie,1
11785,Maurice Tourneur,1
11797,Scott R. Dunlap,1
11797,William A. Wellman,1
11799,Edward LeSaint,1
11830,Tod Browning,1
11848,Victor Schertzinger,1
11849,George Archainbaud,1
11855,Charles Brabin,1
11858,Harry Garson,1
11858,John M. Voshell,1
11860,Henry King,1
11865,Cecil B. DeMille,1
11870,Oscar Micheaux,1
11874,James Vincent,1
11877,Fred Niblo,1
11881,George Archainbaud,1
11890,Roy William Neill,1
11904,Wallace Worsley,1
11908,Robert F. Hill,1
11908,Scott Sidney,1
11909,Cecil B. DeMille,1
11916,Rollin S. Sturgeon,1
11944,Donald Crisp,1
11953,John Griffith Wray,1
11963,William Desmond Taylor,1
11968,John Ford,1
11970,Lynn Reynolds,1
11973,David Smith,1
11974,Emile Chautard,1
11979,Lois Weber,1
11980,Duke Worne,1
11998,Joseph Henabery,1
12027,Ray C. Smallwood,1
12034,Joseph Franz,1
12058,Sherwood MacDonald,1
12067,Emmett J. Flynn,1
12068,Rex Ingram,1
12077,James Cruze,1
12104,Karl R. Coolidge,1
12113,J.P. McGowan,1
12117,Sam Wood,1
12122,D.W. Griffith,1
12187,Cecil B. DeMille,1
12188,George Fitzmaurice,1
12190,Rex Ingram,1
12191,Robert Thornby,1
12202,James Cruze,1
12238,Sam Wood,1
12293,Stuart Paton,1
12328,John Ford,1
12329,Hugo Ballin,1
12345,Lloyd Ingraham,1
12349,Charles Chaplin,1
12352,Syd Chaplin,1
12366,George Loane Tucker,1
12382,James Cruze,1
12382,Roscoe 'Fatty' Arbuckle,1
12385,Chester Withey,1
12397,Alfred E. Green,1
12397,Jack Pickford,1
12405,Francis J. Grandon,1
12405,James B. Leong,1
12406,Marshall Neilan,1
12408,Frances Marion,1
12409,King Vidor,1
12427,Ray C. Smallwood,1
12436,Harry B. Harris,1
12456,Maxwell Karger,1
12465,William C. de Mille,1
12468,F. Richard Jones,1
12520,Joseph De Grasse,1
12532,D.W. Griffith,1
12538,Tod Browning,1
12565,Allan Dwan,1
12600,J. Gordon Edwards,1
12604,Jack Conway,1
12627,Edward Ludwig,1
12642,Fred C. Newmeyer,1
12657,Rowland V. Lee,1
12675,George Melford,1
12699,King Vidor,1
12702,Erle C. Kenton,1
12702,Mack Sennett,1
12725,Henry King,1
12730,J.A. Barry,1
12734,John Ford,1
12747,Robert Thornby,1
12754,Lambert Hillyer,1
12763,Henry King,1
12769,Lois Weber,1
12788,Wesley Ruggles,1
12790,Sam Wood,1
12814,Wallace Worsley,1
12818,John Ford,1
12839,Lambert Hillyer,1
12843,Lambert Hillyer,1
12845,Henry Kolker,1
12864,Herbert Brenon,1
12877,Phil Rosen,1
12879,Robert G. Vignola,1
12917,Frank Borzage,1
12926,Sidney Franklin,1
12928,Robert G. Vignola,1
12938,Sam Wood,1
12940,Clifford S. Elfelt,1
12948,Henry McCarty,1
12952,Fred Niblo,1
12952,Dorothy Arzner,1
12997,William K. Howard,1
13022,Alfred E. Green,1
13075,Fred C. Newmeyer,1
13075,Sam Taylor,1
13076,Charles Bryant,1
13085,Elmer Clifton,1
13091,King Vidor,1
13109,Alan Crosland,1
13134,Irving Cummings,1
13139,Emmett J. Flynn,1
13140,Erich von Stroheim,1
13145,W.S. Van Dyke,1
13148,Robert Ensminger,1
13201,Fred C. Newmeyer,1
13221,Paul Bern,1
13221,Victor Schertzinger,1
13226,Paul Hurst,1
13227,Benjamin B. Hampton,1
13254,E. Mason Hopper,1
13264,Sam Wood,1
13278,Victor Heerman,1
13284,Lynn Reynolds,1
13323,Walt Disney,1
13332,Maurice Tourneur,1
13356,Irving Cummings,1
13363,F. Harmon Weight,1
13367,Burton L. King,1
13372,Cecil B. DeMille,1
13386,Rupert Julian,1
13386,Erich von Stroheim,1
13402,Emmett J. Flynn,1
13404,George Melford,1
13423,David Smith,1
13433,William C. de Mille,1
13450,Frank Lloyd,1
13458,D.W. Griffith,1
13482,Robin H. Townley,1
13488,King Vidor,1
13506,Nat G. Deverich,1
13506,Harry K. Fairall,1
13512,Sidney Franklin,1
13538,Ralph Ince,1
13540,Victor Fleming,1
13559,Jerome Storm,1
13571,Charles Bryant,1
13571,Alla Nazimova,1
13574,Cecil B. DeMille,1
13590,Henry King,1
13596,Bayard Veiller,1
13597,Albert Parker,1
13602,William Duncan,1
13603,Edwin Carewe,1
13603,John Ford,1
13607,Lynn Reynolds,1
13611,Sidney Franklin,1
13624,Chester M. Franklin,1
13624,Frances Marion,1
13662,John S. Robertson,1
13668,Emory Johnson,1
13674,Max Linder,1
13681,Fred Jackman,1
13682,Sidney Olcott,1
13688,Chester M. Franklin,1
13704,Robert Thornby,1
13709,Edwin L. Hollywood,1
13710,Rex Ingram,1
13713,Albert Austin,1
13716,Rex Ingram,1
13735,John Ford,1
13739,Rupert Hughes,1
13750,Robert G. Vignola,1
13759,Fred Jackman,1
13759,W.S. Van Dyke,1
13766,Wesley Ruggles,1
13792,Harry Garson,1
13793,Jack Pratt,1
13800,Albert Capellani,1
13800,Robert G. Vignola,1
13802,Phil Rosen,1
13814,Hobart Henley,1
13824,Irvin Willat,1
13834,John Griffith Wray,1
13834,Thomas H. Ince,1
13841,Frank Lloyd,1
13864,William James Craft,1
13866,William A. Seiter,1
13867,George Fitzmaurice,1
13886,Sidney Franklin,1
13892,John S. Robertson,1
13909,John Ford,1
13920,George Fitzmaurice,1
13926,Edward F. Cline,1
13930,Austin O. Huhn,1
13950,Frederick Sullivan,1
13951,James Cruze,1
13997,George Marshall,1
14015,Bernard J. Durning,1
14021,Alan Crosland,1
14023,George Fitzmaurice,1
14029,F. Richard Jones,1
14039,John S. Robertson,1
14041,Francis Ford,1
14045,John Francis Dillon,1
14051,Paul Powell,1
14068,Henry King,1
14090,Harry Beaumont,1
14112,Harry Houdini,1
14127,Roy Clements,1
14138,Ralph Ince,1
14142,Wallace Worsley,1
14157,Glen Lyons,1
14165,Maurice Tourneur,1
14187,Edward Sloman,1
14188,J. Parker Read Jr.,1
14196,William K. Howard,1
14202,William A. Seiter,1
14211,Victor Schertzinger,1
14214,Raoul Walsh,1
14229,Jack Conway,1
14239,Harry Beaumont,1
14248,William A. Wellman,1
14262,John McDermott,1
14302,Victor Sjöström,1
14321,John Ford,1
14322,Frank Borzage,1
14365,George B. Seitz,1
14391,Roy William Neill,1
14398,Clarence G. Badger,1
14408,Chester Withey,1
14416,Ernst Lubitsch,1
14416,Raoul Walsh,1
14429,Fred C. Newmeyer,1
14429,Sam Taylor,1
14440,Rex Ingram,1
14461,Robert F. Hill,1
14467,F. Richard Jones,1
14474,Edward Sedgwick,1
14491,John G. Blystone,1
14496,John Griffith Wray,1
14499,Herbert Brenon,1
14522,F. Richard Jones,1
14532,Cecil B. DeMille,1
14553,Victor Fleming,1
14583,Frank Lloyd,1
14600,Chester M. Franklin,1
14602,Maurice Tourneur,1
14604,D.W. Griffith,1
14605,Henry King,1
14615,Clifford Smith,1
14639,Clifford S. Elfelt,1
14641,Edward Sedgwick,1
14644,Phil Rosen,1
14650,Edmund Mortimer,1
14651,Wesley Ruggles,1
14652,Bruce Mitchell,1
14672,D.W. Griffith,1
14682,Tom Buckingham,1
14689,Christy Cabanne,1
14696,Lambert Hillyer,1
14699,W.S. Van Dyke,1
14702,Harry Beaumont,1
14706,William C. de Mille,1
14707,Robert N. Bradbury,1
14733,Victor Schertzinger,1
14738,Herbert Brenon,1
14741,Harry Garson,1
14752,Clarence Brown,1
14756,Jacques Jaccard,1
14759,David Smith,1
14759,Albert E. Smith,1
14770,Lewis H. Moomaw,1
14774,Robert Z. Leonard,1
14782,Victor Fleming,1
14809,J.P. McGowan,1
14810,Francis Ford,1
14816,George Fitzmaurice,1
14817,William A. Seiter,1
14826,Henry Otto,1
14838,Lynn Reynolds,1
14854,Marshall Neilan,1
14854,Mary Pickford,1
14858,Ralph Ince,1
14869,John S. Robertson,1
14874,William A. Seiter,1
14878,Richard Thorpe,1
14891,Tom Forman,1
14892,James Cruze,1
14894,Jack Nelson,1
14901,Malcolm St. Clair,1
14925,Ernst Lubitsch,1
14946,Larry Semon,1
14946,Noel M. Smith,1
14960,Frank Tuttle,1
14968,King Vidor,1
14972,Victor Sjöström,1
14977,John Ford,1
14985,William James Craft,1
14989,John W. Noble,1
14991,King Vidor,1
14994,Edward Sedgwick,1
14999,John Ford,1
15004,Sidney Olcott,1
15038,Fred Jackman,1
15051,John G. Blystone,1
15053,James W. Horne,1
15062,J. Stuart Blackton,1
15068,Malcolm St. Clair,1
15074,Edward F. Cline,1
15104,Robert Z. Leonard,1
15116,Allan Dwan,1
15117,R.H. Burnside,1
15133,George W. Hill,1
15134,Jack Nelson,1
15140,Sam Wood,1
15145,Sidney Olcott,1
15159,Frederick Sullivan,1
15163,Donald Crisp,1
15163,Buster Keaton,1
15173,Sam Wood,1
15180,Irvin Willat,1
15181,Albert S. Rogell,1
15182,Irvin Willat,1
15184,William A. Wellman,1
15188,John G. Blystone,1
15197,Clarence G. Badger,1
15199,Sidney Olcott,1
15200,Paul Bern,1
15209,Clarence G. Badger,1
15229,Alfred E. Green,1
15239,Louis J. Gasnier,1
15254,Henry MacRae,1
15263,Harry A. Pollard,1
15268,Fred Niblo,1
15270,Albert Parker,1
15284,Tom Forman,1
15287,Victor Adamson,1
15289,Henry King,1
15290,Irving Cummings,1
15310,Frank Lloyd,1
15312,Frank Borzage,1
15313,Herbert Blaché,1
15320,Herbert Brenon,1
15332,Chester M. Franklin,1
15344,William Bertram,1
15347,Charles Brabin,1
15348,Hobart Henley,1
15349,Allan Dwan,1
15350,Fred Windemere,1
15355,Charles Hines,1
15357,Emory Johnson,1
15371,Irvin Willat,1
15389,John G. Blystone,1
15391,William Parke,1
15399,George Fitzmaurice,1
15400,Raoul Walsh,1
15402,Phil Rosen,1
15408,Alan Crosland,1
15412,Richard Thorpe,1
15413,Fred Niblo,1
15431,Dave Fleischer,1
15442,Hobart Henley,1
15447,Ralph Ince,1
15453,William A. Wellman,1
15454,Russell Allen,1
15471,Elmer Clifton,1
15491,Louis J. Gasnier,1
15492,Maurice Tourneur,1
15499,Louis J. Gasnier,1
15500,King Vidor,1
15504,Edmund Mortimer,1
15518,Robert G. Vignola,1
15542,Victor Fleming,1
15543,Charles Giblyn,1
15547,Irvin Willat,1
15559,Walt Disney,1
15563,Walt Disney,1
15570,Richard Stanton,1
15577,Malcolm St. Clair,1
15589,Paul Powell,1
15602,W.S. Van Dyke,1
15624,King Vidor,1
15624,George W. Hill,1
15627,Fred Jackman,1
15634,Oscar Micheaux,1
15639,Harry S. Webb,1
15663,Harry A. Pollard,1
15669,James P. Hogan,1
15675,Scott Sidney,1
15684,Frank Borzage,1
15687,Noel M. Smith,1
15691,Bud Barsky,1
15700,Paul Sloane,1
15702,Victor Sjöström,1
15728,Erle C. Kenton,1
15740,Robert G. Vignola,1
15742,Paul Hurst,1
15745,Irving Cummings,1
15746,W.S. Van Dyke,1
15750,John G. Blystone,1
15759,Donald Crisp,1
15761,Alfred J. Goulding,1
15766,Park Frame,1
15773,Charles Hines,1
15811,John Ford,1
15820,Robert Dillon,1
15840,Frank O'Connor,1
15841,Fred C. Newmeyer,1
15841,Sam Taylor,1
15863,Buster Keaton,1
15864,Charles Chaplin,1
15872,Clarence Brown,1
15875,Jay Marchant,1
15881,Erich von Stroheim,1
15882,Spencer Gordon Bennet,1
15903,W.S. Van Dyke,1
15909,Sidney Franklin,1
15918,Edward Sloman,1
15919,Hobart Henley,1
15930,Spencer Gordon Bennet,1
15951,Victor Heerman,1
15979,Ernst Lubitsch,1
15980,Frank Tuttle,1
16004,Ernst Lubitsch,1
16005,Monta Bell,1
16006,Frank Borzage,1
16013,Frank Borzage,1
16022,John Ford,1
16028,William Beaudine,1
16029,David Butler,1
16038,Edward Sedgwick,1
16051,Frank Tuttle,1
16064,Scott Sidney,1
16065,Léonce Perret,1
16094,Roy William Neill,1
16107,Wilfred Noy,1
16109,Christy Cabanne,1
16114,Frank Tuttle,1
16139,Jack Nelson,1
16142,Tod Browning,1
16172,Harry A. Pollard,1
16174,Edward F. Cline,1
16184,Jack Conway,1
16201,Louis J. Gasnier,1
16202,Alfred Santell,1
16205,Clarence G. Badger,1
16213,J.P. McGowan,1
16214,Francis Ford,1
16215,Francis Ford,1
16220,Rupert Julian,1
16220,Lon Chaney,1
16220,Ernst Laemmle,1
16220,Edward Sedgwick,1
16235,James Cruze,1
